id_contrato,departamento,entidad,modalidad,valor_contrato,fecha_firma
C-001961,VALLE DEL CAUCA,Entidad 397,Seleccion abreviada,"11.563.199,16",2025-08-25
C-001962,SANTANDER,Entidad 071,Licitacion publica,"62.555.123,54",2025-11-20
C-001963,ATLANTICO,Entidad 380,Licitacion publica,"6.006.917,26",2025-10-02
C-001964,VALLE DEL CAUCA,Entidad 089,Licitacion publica,"29.503.323,61",2025-11-14
C-001965,BOGOTA D.C.,Entidad 071,Minima cuantia,"88.168.901,78",2025-11-05
C-001966,BOGOTA D.C.,Entidad 335,Seleccion abreviada,"13.623.954,23",2025-06-24
C-001967,BOYACA,Entidad 295,Seleccion abreviada,"24.923.527,48",2025-08-22
C-001968,ANTIOQUIA,Entidad 352,Licitacion publica,"29.192.723,56",2025-10-12
C-001969,BOGOTA D.C.,Entidad 016,Licitacion publica,"127.911.714,09",2025-05-28
C-001970,BOGOTA D.C.,Entidad 036,Minima cuantia,"70.404.575,67",2025-12-28
C-001971,BOLIVAR,Entidad 083,Licitacion publica,"115.847.891,91",2025-02-02
C-001972,ANTIOQUIA,Entidad 053,Seleccion abreviada,"20.428.349,12",2025-09-23
C-001973,BOGOTA D.C.,Entidad 390,Seleccion abreviada,"13.483.798,51",2025-01-23
C-001974,ANTIOQUIA,Entidad 098,Seleccion abreviada,"79.545.805,34",2025-02-13
C-001975,BOGOTA D.C.,Entidad 345,Minima cuantia,"34.904.546,68",2025-08-15
C-001976,BOGOTA D.C.,Entidad 118,Seleccion abreviada,"250.634.652,32",2025-04-05
C-001977,VALLE DEL CAUCA,Entidad 184,Licitacion publica,"50.313.739,89",2025-03-13
C-001978,BOGOTA D.C.,Entidad 233,Licitacion publica,"24.456.724,49",2025-01-14
C-001979,ANTIOQUIA,Entidad 338,Contratacion directa,"175.481.384,98",2025-09-19
C-001980,BOGOTA D.C.,Entidad 137,Licitacion publica,"109.854.098,84",2025-11-14
C-001981,BOGOTA D.C.,Entidad 085,Seleccion abreviada,"51.670.847,95",2025-08-24
C-001982,VALLE DEL CAUCA,Entidad 086,Licitacion publica,"4.491.396,73",2025-03-12
C-001983,CUNDINAMARCA,Entidad 095,Seleccion abreviada,"18.866.703,67",2025-04-21
C-001984,BOGOTA D.C.,Entidad 071,Seleccion abreviada,"32.090.334,71",2025-10-13
C-001985,VALLE DEL CAUCA,Entidad 179,Minima cuantia,"7.593.163,20",2025-07-18
C-001986,VALLE DEL CAUCA,Entidad 220,Licitacion publica,"67.022.118,54",2025-09-13
C-001987,BOGOTA D.C.,Entidad 400,Minima cuantia,"8.439.666,10",2025-11-17
C-001988,BOGOTA D.C.,Entidad 226,Contratacion directa,"52.071.719,99",2025-04-12
C-001989,RISARALDA,Entidad 371,Minima cuantia,"10.376.825,19",2025-07-19
C-001990,BOGOTA D.C.,Entidad 234,Minima cuantia,"3.517.062,29",2025-02-19
C-001991,BOGOTA D.C.,Entidad 332,Licitacion publica,"28.986.906,71",2025-06-20
C-001992,VALLE DEL CAUCA,Entidad 323,Seleccion abreviada,"81.917.091,82",2025-01-05
C-001993,VALLE DEL CAUCA,Entidad 030,Licitacion publica,"37.898.073,52",2025-03-09
C-001994,ANTIOQUIA,Entidad 399,Contratacion directa,"5.579.218,46",2025-02-28
C-001995,CUNDINAMARCA,Entidad 111,Seleccion abreviada,"12.675.397,49",2025-08-23
C-001996,BOGOTA D.C.,Entidad 348,Minima cuantia,"12.105.663,39",2025-01-18
C-001997,CUNDINAMARCA,Entidad 013,Licitacion publica,"6.184.385,21",2025-05-04
C-001998,VALLE DEL CAUCA,Entidad 147,Minima cuantia,"2.804.097,75",2025-05-28
C-001999,CUNDINAMARCA,Entidad 303,Minima cuantia,"160.405.328,89",2025-03-28
C-002000,ANTIOQUIA,Entidad 205,Licitacion publica,"18.600.611,01",2025-01-21
C-002001,BOGOTA D.C.,Entidad 357,Contratacion directa,"3.107.396,87",2025-05-27
C-002002,ATLANTICO,Entidad 193,Minima cuantia,"19.853.961,51",2025-08-05
C-002003,ANTIOQUIA,Entidad 033,Licitacion publica,"20.383.032,26",2025-12-24
C-002004,ATLANTICO,Entidad 018,Seleccion abreviada,"12.194.972,05",2025-11-08
C-002005,BOGOTA D.C.,Entidad 155,Minima cuantia,"12.695.452,51",2025-10-16
C-002006,BOGOTA D.C.,Entidad 034,Seleccion abreviada,"11.672.178,57",2025-08-09
C-002007,SANTANDER,Entidad 352,Licitacion publica,"24.997.301,42",2025-12-28
C-002008,BOGOTA D.C.,Entidad 304,Licitacion publica,"21.285.694,23",2025-06-06
C-002009,CALDAS,Entidad 374,Licitacion publica,"358.581.014,48",2025-06-25
C-002010,VALLE DEL CAUCA,Entidad 312,Minima cuantia,"84.319.441,07",2025-02-10
C-002011,ATLANTICO,Entidad 131,Seleccion abreviada,"13.164.328,20",2025-03-06
C-002012,ANTIOQUIA,Entidad 161,Minima cuantia,"45.476.667,56",2025-06-13
C-002013,CALDAS,Entidad 378,Seleccion abreviada,"80.853.564,71",2025-09-12
C-002014,BOGOTA D.C.,Entidad 296,Licitacion publica,"39.482.876,08",2025-11-12
C-002015,HUILA,Entidad 208,Licitacion publica,"2.513.734,47",2025-08-02
C-002016,BOGOTA D.C.,Entidad 006,Licitacion publica,"91.103.303,84",2025-03-01
C-002017,BOGOTA D.C.,Entidad 309,Licitacion publica,"97.998.841,69",2025-02-24
C-002018,BOGOTA D.C.,Entidad 166,Seleccion abreviada,"22.495.800,04",2025-04-01
C-002019,TOLIMA,Entidad 175,Minima cuantia,"14.247.130,89",2025-03-18
C-002020,BOYACA,Entidad 233,Contratacion directa,"51.598.696,98",2025-07-14
C-002021,SANTANDER,Entidad 347,Minima cuantia,"139.200.625,93",2025-08-25
C-002022,BOLIVAR,Entidad 019,Minima cuantia,"2.351.624,50",2025-06-21
C-002023,NARINO,Entidad 205,Seleccion abreviada,"15.446.553,66",2025-04-15
C-002024,ANTIOQUIA,Entidad 333,Minima cuantia,"575.274.762,34",2025-03-16
C-002025,CUNDINAMARCA,Entidad 270,Contratacion directa,"24.236.962,70",2025-06-17
C-002026,SANTANDER,Entidad 352,Minima cuantia,"6.920.927,02",2025-12-06
C-002027,BOGOTA D.C.,Entidad 400,Contratacion directa,"16.193.492,32",2025-12-27
C-002028,CUNDINAMARCA,Entidad 208,Minima cuantia,"12.618.399,57",2025-12-28
C-002029,BOGOTA D.C.,Entidad 289,Seleccion abreviada,"49.530.556,25",2025-05-11
C-002030,BOGOTA D.C.,Entidad 087,Contratacion directa,"98.297.625,57",2025-01-06
C-002031,CUNDINAMARCA,Entidad 089,Seleccion abreviada,"20.004.065,29",2025-06-11
C-002032,ANTIOQUIA,Entidad 057,Minima cuantia,"112.631.012,33",2025-11-02
C-002033,CUNDINAMARCA,Entidad 345,Licitacion publica,"3.974.212,54",2025-11-26
C-002034,VALLE DEL CAUCA,Entidad 003,Minima cuantia,"38.753.343,52",2025-03-08
C-002035,CESAR,Entidad 058,Seleccion abreviada,"20.794.907,60",2025-10-22
C-002036,BOLIVAR,Entidad 195,Minima cuantia,"39.855.150,78",2025-06-15
C-002037,ANTIOQUIA,Entidad 201,Licitacion publica,"12.608.529,81",2025-06-28
C-002038,ANTIOQUIA,Entidad 031,Minima cuantia,"71.675.071,62",2025-10-01
C-002039,ANTIOQUIA,Entidad 103,Licitacion publica,"29.370.390,03",2025-01-18
C-002040,ANTIOQUIA,Entidad 104,Contratacion directa,"30.785.538,22",2025-11-12
C-002041,CUNDINAMARCA,Entidad 192,Seleccion abreviada,"10.087.979,75",2025-09-07
C-002042,CALDAS,Entidad 329,Contratacion directa,"19.022.122,65",2025-05-15
C-002043,TOLIMA,Entidad 008,Contratacion directa,"104.276.685,50",2025-09-07
C-002044,BOGOTA D.C.,Entidad 321,Licitacion publica,"15.463.925,16",2025-06-06
C-002045,BOGOTA D.C.,Entidad 044,Licitacion publica,"222.693.845,11",2025-09-09
C-002046,ANTIOQUIA,Entidad 055,Minima cuantia,"50.713.926,23",2025-02-28
C-002047,ANTIOQUIA,Entidad 005,Seleccion abreviada,"75.170.172,80",2025-01-08
C-002048,CESAR,Entidad 297,Licitacion publica,"38.491.523,69",2025-12-09
C-002049,ATLANTICO,Entidad 164,Contratacion directa,"10.218.712,73",2025-07-01
C-002050,CUNDINAMARCA,Entidad 317,Seleccion abreviada,"124.733.342,59",2025-02-09
C-002051,BOGOTA D.C.,Entidad 224,Seleccion abreviada,"19.932.028,34",2025-07-23
C-002052,BOGOTA D.C.,Entidad 322,Licitacion publica,"3.598.866,50",2025-06-18
C-002053,RISARALDA,Entidad 165,Seleccion abreviada,"99.358.004,96",2025-04-18
C-002054,ANTIOQUIA,Entidad 398,Seleccion abreviada,"146.839.356,51",2025-10-16
C-002055,CALDAS,Entidad 351,Minima cuantia,"251.725.514,53",2025-12-16
C-002056,CUNDINAMARCA,Entidad 234,Contratacion directa,"12.196.379,28",2025-12-24
C-002057,VALLE DEL CAUCA,Entidad 040,Seleccion abreviada,"8.669.214,40",2025-01-18
C-002058,BOGOTA D.C.,Entidad 004,Minima cuantia,"6.702.575,34",2025-11-25
C-002059,SANTANDER,Entidad 221,Licitacion publica,"314.879.811,77",2025-08-12
C-002060,GUAINIA,Entidad 120,Minima cuantia,"63.047.631,55",2025-01-28
C-002061,BOGOTA D.C.,Entidad 146,Licitacion publica,"17.486.608,07",2025-08-21
C-002062,ANTIOQUIA,Entidad 268,Seleccion abreviada,"46.348.970,21",2025-02-28
C-002063,BOGOTA D.C.,Entidad 023,Contratacion directa,"151.087.263,90",2025-02-04
C-002064,CUNDINAMARCA,Entidad 183,Minima cuantia,"101.264.159,89",2025-02-09
C-002065,ANTIOQUIA,Entidad 311,Contratacion directa,"25.226.043,53",2025-11-10
C-002066,VALLE DEL CAUCA,Entidad 157,Contratacion directa,"65.475.682,99",2025-06-25
C-002067,BOLIVAR,Entidad 205,Licitacion publica,"33.265.215,25",2025-02-28
C-002068,VALLE DEL CAUCA,Entidad 158,Minima cuantia,"30.308.407,67",2025-08-19
C-002069,CUNDINAMARCA,Entidad 130,Licitacion publica,"29.197.164,56",2025-11-17
C-002070,CALDAS,Entidad 096,Seleccion abreviada,"30.178.881,87",2025-10-14
C-002071,ATLANTICO,Entidad 146,Licitacion publica,"58.763.467,95",2025-12-14
C-002072,SANTANDER,Entidad 332,Minima cuantia,"132.569.193,59",2025-04-10
C-002073,TOLIMA,Entidad 040,Licitacion publica,"24.434.671,37",2025-02-09
C-002074,BOLIVAR,Entidad 296,Licitacion publica,"106.172.175,93",2025-03-23
C-002075,ANTIOQUIA,Entidad 217,Licitacion publica,"279.802.008,68",2025-02-06
C-002076,SANTANDER,Entidad 078,Licitacion publica,"9.293.687,93",2025-08-16
C-002077,BOGOTA D.C.,Entidad 071,Minima cuantia,"29.226.738,17",2025-10-16
C-002078,BOGOTA D.C.,Entidad 078,Licitacion publica,"68.773.772,90",2025-08-08
C-002079,BOGOTA D.C.,Entidad 352,Seleccion abreviada,"103.393.192,81",2025-09-08
C-002080,ANTIOQUIA,Entidad 254,Licitacion publica,"22.652.624,01",2025-10-23
C-002081,CUNDINAMARCA,Entidad 358,Minima cuantia,"163.920.120,17",2025-08-02
C-002082,BOGOTA D.C.,Entidad 073,Seleccion abreviada,"12.971.704,27",2025-03-12
C-002083,ANTIOQUIA,Entidad 195,Minima cuantia,"27.621.627,42",2025-12-18
C-002084,BOGOTA D.C.,Entidad 106,Minima cuantia,"3.233.569,88",2025-09-05
C-002085,TOLIMA,Entidad 250,Seleccion abreviada,"57.344.393,78",2025-04-26
C-002086,ANTIOQUIA,Entidad 132,Licitacion publica,"88.974.999,61",2025-08-17
C-002087,BOGOTA D.C.,Entidad 359,Seleccion abreviada,"50.181.838,63",2025-05-19
C-002088,BOGOTA D.C.,Entidad 361,Seleccion abreviada,"132.290.212,86",2025-05-27
C-002089,HUILA,Entidad 355,Seleccion abreviada,"107.022.087,02",2025-05-22
C-002090,ANTIOQUIA,Entidad 169,Contratacion directa,"30.281.210,46",2025-05-11
C-002091,BOGOTA D.C.,Entidad 092,Licitacion publica,"79.653.900,94",2025-05-03
C-002092,BOGOTA D.C.,Entidad 224,Minima cuantia,"19.492.448,37",2025-08-12
C-002093,ANTIOQUIA,Entidad 015,Minima cuantia,"218.019.847,88",2025-10-27
C-002094,BOGOTA D.C.,Entidad 111,Contratacion directa,"7.831.706,00",2025-06-18
C-002095,ANTIOQUIA,Entidad 308,Minima cuantia,"18.828.010,22",2025-08-12
C-002096,BOGOTA D.C.,Entidad 223,Minima cuantia,"15.439.937,36",2025-03-09
C-002097,ANTIOQUIA,Entidad 063,Licitacion publica,"9.130.008,51",2025-09-21
C-002098,BOGOTA D.C.,Entidad 188,Seleccion abreviada,"51.871.647,69",2025-12-14
C-002099,SANTANDER,Entidad 325,Minima cuantia,"26.974.457,44",2025-10-23
C-002100,HUILA,Entidad 116,Contratacion directa,"10.105.330,93",2025-06-24
C-002101,RISARALDA,Entidad 026,Seleccion abreviada,"45.486.359,90",2025-08-19
C-002102,BOGOTA D.C.,Entidad 340,Seleccion abreviada,"32.044.293,73",2025-01-25
C-002103,ATLANTICO,Entidad 270,Contratacion directa,"13.629.101,19",2025-04-26
C-002104,BOGOTA D.C.,Entidad 393,Licitacion publica,"42.074.036,79",2025-04-13
C-002105,NARINO,Entidad 015,Licitacion publica,"271.654.916,29",2025-04-01
C-002106,ANTIOQUIA,Entidad 339,Licitacion publica,"153.267.326,97",2025-07-16
C-002107,BOGOTA D.C.,Entidad 335,Minima cuantia,"38.502.485,14",2025-06-19
C-002108,BOGOTA D.C.,Entidad 342,Seleccion abreviada,"36.037.506,62",2025-03-21
C-002109,BOGOTA D.C.,Entidad 224,Contratacion directa,"12.890.556,46",2025-01-24
C-002110,BOGOTA D.C.,Entidad 308,Contratacion directa,"15.908.729,26",2025-11-01
C-002111,BOGOTA D.C.,Entidad 385,Minima cuantia,"199.307.794,77",2025-10-06
C-002112,VALLE DEL CAUCA,Entidad 388,Licitacion publica,"7.384.008,32",2025-05-07
C-002113,BOGOTA D.C.,Entidad 068,Minima cuantia,"57.312.064,10",2025-10-19
C-002114,VALLE DEL CAUCA,Entidad 339,Minima cuantia,"82.640.816,65",2025-07-23
C-002115,ANTIOQUIA,Entidad 207,Seleccion abreviada,"54.978.538,60",2025-03-24
C-002116,CUNDINAMARCA,Entidad 181,Contratacion directa,"39.558.401,01",2025-03-27
C-002117,BOLIVAR,Entidad 308,Minima cuantia,"51.175.696,41",2025-08-03
C-002118,BOGOTA D.C.,Entidad 165,Licitacion publica,"1.749.843,21",2025-04-03
C-002119,CUNDINAMARCA,Entidad 106,Licitacion publica,"39.157.980,81",2025-06-12
C-002120,ATLANTICO,Entidad 065,Licitacion publica,"19.486.562,53",2025-06-25
C-002121,ANTIOQUIA,Entidad 235,Minima cuantia,"1.962.606,84",2025-03-27
C-002122,VALLE DEL CAUCA,Entidad 166,Seleccion abreviada,"24.841.511,90",2025-06-27
C-002123,BOGOTA D.C.,Entidad 065,Contratacion directa,"10.423.031,01",2025-01-15
C-002124,ANTIOQUIA,Entidad 364,Contratacion directa,"64.285.465,78",2025-10-13
C-002125,BOGOTA D.C.,Entidad 200,Seleccion abreviada,"9.697.647,97",2025-05-10
C-002126,ANTIOQUIA,Entidad 215,Minima cuantia,"9.980.018,12",2025-07-12
C-002127,VALLE DEL CAUCA,Entidad 388,Minima cuantia,"4.300.567,95",2025-08-27
C-002128,BOGOTA D.C.,Entidad 309,Contratacion directa,"103.304.611,09",2025-01-01
C-002129,VALLE DEL CAUCA,Entidad 122,Licitacion publica,"72.832.179,71",2025-09-12
C-002130,VALLE DEL CAUCA,Entidad 321,Contratacion directa,"110.502.492,91",2025-05-23
C-002131,BOGOTA D.C.,Entidad 141,Seleccion abreviada,"40.857.083,74",2025-03-13
C-002132,HUILA,Entidad 044,Minima cuantia,"19.062.896,82",2025-07-01
C-002133,ANTIOQUIA,Entidad 232,Minima cuantia,"41.217.608,66",2025-06-01
C-002134,VALLE DEL CAUCA,Entidad 084,Seleccion abreviada,"13.650.631,97",2025-08-14
C-002135,ANTIOQUIA,Entidad 097,Minima cuantia,"35.568.169,70",2025-11-27
C-002136,CUNDINAMARCA,Entidad 300,Licitacion publica,"5.563.546,67",2025-04-10
C-002137,VALLE DEL CAUCA,Entidad 380,Contratacion directa,"22.057.570,84",2025-12-26
C-002138,ANTIOQUIA,Entidad 219,Contratacion directa,"11.474.601,35",2025-12-16
C-002139,BOLIVAR,Entidad 189,Seleccion abreviada,"43.628.787,97",2025-09-13
C-002140,TOLIMA,Entidad 079,Seleccion abreviada,"68.290.030,38",2025-10-24
C-002141,ATLANTICO,Entidad 036,Contratacion directa,"50.075.081,58",2025-07-23
C-002142,ANTIOQUIA,Entidad 257,Contratacion directa,"17.758.967,49",2025-03-19
C-002143,BOGOTA D.C.,Entidad 345,Seleccion abreviada,"85.208.116,49",2025-05-12
C-002144,BOGOTA D.C.,Entidad 259,Licitacion publica,"21.384.424,06",2025-09-18
C-002145,VALLE DEL CAUCA,Entidad 398,Minima cuantia,"171.003.108,63",2025-04-02
C-002146,SANTANDER,Entidad 292,Minima cuantia,"91.178.902,14",2025-01-20
C-002147,SANTANDER,Entidad 341,Seleccion abreviada,"80.930.796,98",2025-08-18
C-002148,BOGOTA D.C.,Entidad 164,Seleccion abreviada,"13.393.912,25",2025-01-09
C-002149,CESAR,Entidad 267,Seleccion abreviada,"30.031.195,72",2025-04-20
C-002150,ANTIOQUIA,Entidad 086,Minima cuantia,"60.928.864,63",2025-08-09
C-002151,SANTANDER,Entidad 111,Contratacion directa,"99.191.830,90",2025-03-08
C-002152,BOGOTA D.C.,Entidad 387,Minima cuantia,"35.960.803,00",2025-12-06
C-002153,NARINO,Entidad 383,Minima cuantia,"22.580.817,87",2025-09-07
C-002154,HUILA,Entidad 181,Contratacion directa,"48.817.552,89",2025-09-11
C-002155,ATLANTICO,Entidad 392,Licitacion publica,"3.902.124,57",2025-11-12
C-002156,SANTANDER,Entidad 348,Licitacion publica,"27.322.251,16",2025-11-08
C-002157,BOGOTA D.C.,Entidad 112,Licitacion publica,"109.985.340,84",2025-11-18
C-002158,CUNDINAMARCA,Entidad 107,Seleccion abreviada,"50.087.920,53",2025-03-12
C-002159,AMAZONAS,Entidad 053,Minima cuantia,"42.905.353,38",2025-04-19
C-002160,BOGOTA D.C.,Entidad 135,Minima cuantia,"50.198.128,75",2025-11-02
C-002161,VALLE DEL CAUCA,Entidad 212,Licitacion publica,"8.668.772,20",2025-03-17
C-002162,BOGOTA D.C.,Entidad 322,Seleccion abreviada,"241.789.214,77",2025-12-27
C-002163,HUILA,Entidad 086,Minima cuantia,"21.396.155,96",2025-11-09
C-002164,VALLE DEL CAUCA,Entidad 076,Minima cuantia,"6.038.493,46",2025-09-09
C-002165,VALLE DEL CAUCA,Entidad 320,Contratacion directa,"17.799.002,31",2025-12-28
C-002166,BOGOTA D.C.,Entidad 393,Licitacion publica,"16.717.861,33",2025-03-02
C-002167,ATLANTICO,Entidad 252,Licitacion publica,"13.129.266,38",2025-10-06
C-002168,BOGOTA D.C.,Entidad 248,Contratacion directa,"20.147.585,11",2025-04-02
C-002169,SANTANDER,Entidad 066,Contratacion directa,"13.988.309,71",2025-04-25
C-002170,CALDAS,Entidad 014,Contratacion directa,"10.611.829,50",2025-08-06
C-002171,BOGOTA D.C.,Entidad 215,Contratacion directa,"115.143.888,44",2025-10-05
C-002172,VALLE DEL CAUCA,Entidad 090,Licitacion publica,"48.223.318,02",2025-03-02
C-002173,VALLE DEL CAUCA,Entidad 318,Contratacion directa,"60.659.763,44",2025-03-07
C-002174,META,Entidad 091,Contratacion directa,"72.877.195,20",2025-06-05
C-002175,ATLANTICO,Entidad 234,Minima cuantia,"455.531.397,43",2025-09-03
C-002176,VALLE DEL CAUCA,Entidad 093,Contratacion directa,"57.592.300,31",2025-06-28
C-002177,ANTIOQUIA,Entidad 384,Minima cuantia,"65.770.017,23",2025-01-25
C-002178,BOGOTA D.C.,Entidad 141,Licitacion publica,"87.346.961,39",2025-11-16
C-002179,BOGOTA D.C.,Entidad 262,Seleccion abreviada,"83.307.278,71",2025-12-12
C-002180,ANTIOQUIA,Entidad 072,Licitacion publica,"12.597.719,16",2025-10-13
C-002181,BOGOTA D.C.,Entidad 071,Licitacion publica,"36.249.142,44",2025-01-23
C-002182,VALLE DEL CAUCA,Entidad 243,Licitacion publica,"26.014.450,08",2025-10-11
C-002183,BOGOTA D.C.,Entidad 196,Seleccion abreviada,"30.328.126,13",2025-11-25
C-002184,CESAR,Entidad 211,Contratacion directa,"25.882.055,48",2025-04-18
C-002185,BOGOTA D.C.,Entidad 050,Seleccion abreviada,"176.540.226,49",2025-10-16
C-002186,NARINO,Entidad 364,Licitacion publica,"17.189.759,08",2025-10-23
C-002187,BOGOTA D.C.,Entidad 194,Licitacion publica,"24.167.007,43",2025-09-05
C-002188,BOYACA,Entidad 265,Licitacion publica,"59.982.650,90",2025-10-11
C-002189,BOGOTA D.C.,Entidad 125,Contratacion directa,"25.331.650,64",2025-11-02
C-002190,BOGOTA D.C.,Entidad 263,Licitacion publica,"23.882.293,84",2025-11-28
C-002191,ANTIOQUIA,Entidad 315,Seleccion abreviada,"36.730.664,85",2025-06-20
C-002192,BOGOTA D.C.,Entidad 005,Licitacion publica,"36.001.144,54",2025-05-27
C-002193,ANTIOQUIA,Entidad 351,Licitacion publica,"37.781.397,87",2025-12-16
C-002194,BOGOTA D.C.,Entidad 391,Licitacion publica,"26.214.709,91",2025-07-08
C-002195,BOGOTA D.C.,Entidad 228,Contratacion directa,"28.141.513,31",2025-05-05
C-002196,ANTIOQUIA,Entidad 386,Minima cuantia,"6.463.521,06",2025-01-27
C-002197,BOGOTA D.C.,Entidad 267,Licitacion publica,"5.609.337,90",2025-07-19
C-002198,BOGOTA D.C.,Entidad 189,Seleccion abreviada,"9.782.610,69",2025-01-05
C-002199,ATLANTICO,Entidad 304,Licitacion publica,"92.695.976,25",2025-07-04
C-002200,BOGOTA D.C.,Entidad 086,Minima cuantia,"4.185.135,98",2025-12-16
C-002201,RISARALDA,Entidad 042,Seleccion abreviada,"145.788.911,66",2025-10-17
C-002202,ANTIOQUIA,Entidad 008,Contratacion directa,"113.835.018,97",2025-07-21
C-002203,ATLANTICO,Entidad 321,Licitacion publica,"5.200.926,99",2025-04-02
C-002204,BOGOTA D.C.,Entidad 099,Seleccion abreviada,"106.205.096,83",2025-04-27
C-002205,ANTIOQUIA,Entidad 085,Minima cuantia,"17.908.123,95",2025-04-12
C-002206,ANTIOQUIA,Entidad 353,Minima cuantia,"79.801.863,62",2025-05-28
C-002207,BOGOTA D.C.,Entidad 315,Contratacion directa,"28.424.213,92",2025-08-23
C-002208,BOGOTA D.C.,Entidad 225,Contratacion directa,"24.799.677,99",2025-04-09
C-002209,CALDAS,Entidad 054,Seleccion abreviada,"23.027.709,50",2025-06-25
C-002210,NARINO,Entidad 058,Contratacion directa,"60.859.559,04",2025-06-25
C-002211,ANTIOQUIA,Entidad 340,Seleccion abreviada,"23.915.809,65",2025-06-16
C-002212,CESAR,Entidad 181,Contratacion directa,"8.533.901,87",2025-02-25
C-002213,VAUPES,Entidad 126,Minima cuantia,"10.866.885,99",2025-02-20
C-002214,CUNDINAMARCA,Entidad 391,Contratacion directa,"74.313.910,90",2025-06-01
C-002215,BOGOTA D.C.,Entidad 033,Minima cuantia,"26.456.477,94",2025-05-24
C-002216,ANTIOQUIA,Entidad 294,Contratacion directa,"4.748.724,86",2025-01-24
C-002217,QUINDIO,Entidad 229,Seleccion abreviada,"5.525.133,29",2025-08-15
C-002218,BOGOTA D.C.,Entidad 020,Minima cuantia,"30.310.783,57",2025-10-17
C-002219,VALLE DEL CAUCA,Entidad 251,Minima cuantia,"18.596.688,79",2025-07-13
C-002220,BOGOTA D.C.,Entidad 026,Seleccion abreviada,"8.473.297,35",2025-04-07
C-002221,SANTANDER,Entidad 256,Seleccion abreviada,"20.395.597,77",2025-03-17
C-002222,ATLANTICO,Entidad 111,Minima cuantia,"21.195.368,10",2025-04-12
C-002223,BOGOTA D.C.,Entidad 316,Minima cuantia,"11.937.121,56",2025-01-03
C-002224,VALLE DEL CAUCA,Entidad 166,Seleccion abreviada,"14.817.417,87",2025-06-23
C-002225,HUILA,Entidad 312,Seleccion abreviada,"21.348.534,42",2025-01-12
C-002226,BOGOTA D.C.,Entidad 275,Contratacion directa,"20.044.467,13",2025-09-08
C-002227,ATLANTICO,Entidad 054,Licitacion publica,"5.420.967,12",2025-09-24
C-002228,BOGOTA D.C.,Entidad 135,Licitacion publica,"35.409.169,88",2025-04-22
C-002229,HUILA,Entidad 190,Seleccion abreviada,"60.151.261,53",2025-01-15
C-002230,VALLE DEL CAUCA,Entidad 116,Seleccion abreviada,"246.086.579,80",2025-07-21
C-002231,BOGOTA D.C.,Entidad 353,Seleccion abreviada,"113.302.490,92",2025-05-28
C-002232,BOGOTA D.C.,Entidad 190,Contratacion directa,"16.118.089,85",2025-10-05
C-002233,ANTIOQUIA,Entidad 180,Seleccion abreviada,"52.840.456,09",2025-07-20
C-002234,SANTANDER,Entidad 061,Contratacion directa,"49.104.469,35",2025-10-14
C-002235,ANTIOQUIA,Entidad 007,Licitacion publica,"36.580.225,80",2025-09-01
C-002236,BOGOTA D.C.,Entidad 170,Seleccion abreviada,"117.649.712,35",2025-05-17
C-002237,BOGOTA D.C.,Entidad 336,Contratacion directa,"43.674.418,63",2025-09-16
C-002238,BOGOTA D.C.,Entidad 321,Seleccion abreviada,"192.398.779,20",2025-10-15
C-002239,BOGOTA D.C.,Entidad 291,Seleccion abreviada,"41.714.128,80",2025-12-27
C-002240,VALLE DEL CAUCA,Entidad 370,Licitacion publica,"7.661.565,55",2025-11-27
C-002241,BOGOTA D.C.,Entidad 307,Contratacion directa,"17.801.694,64",2025-09-12
C-002242,CUNDINAMARCA,Entidad 293,Licitacion publica,"6.808.652,31",2025-10-26
C-002243,BOGOTA D.C.,Entidad 001,Seleccion abreviada,"446.642.678,26",2025-11-08
C-002244,ANTIOQUIA,Entidad 138,Minima cuantia,"129.307.500,52",2025-04-20
C-002245,BOGOTA D.C.,Entidad 223,Minima cuantia,"33.647.769,33",2025-12-11
C-002246,BOLIVAR,Entidad 261,Contratacion directa,"16.369.220,53",2025-08-20
C-002247,HUILA,Entidad 010,Seleccion abreviada,"47.881.168,97",2025-09-01
C-002248,CALDAS,Entidad 129,Contratacion directa,"26.854.374,13",2025-02-17
C-002249,BOGOTA D.C.,Entidad 396,Licitacion publica,"7.583.605,91",2025-07-23
C-002250,QUINDIO,Entidad 230,Contratacion directa,"18.249.041,41",2025-10-11
C-002251,VALLE DEL CAUCA,Entidad 049,Minima cuantia,"54.019.394,05",2025-03-08
C-002252,ANTIOQUIA,Entidad 175,Licitacion publica,"109.576.799,78",2025-01-01
C-002253,BOGOTA D.C.,Entidad 115,Contratacion directa,"3.405.763,87",2025-03-18
C-002254,VALLE DEL CAUCA,Entidad 145,Licitacion publica,"22.804.472,41",2025-07-09
C-002255,ATLANTICO,Entidad 241,Contratacion directa,"113.677.160,61",2025-03-14
C-002256,HUILA,Entidad 289,Contratacion directa,"24.536.318,34",2025-04-04
C-002257,CUNDINAMARCA,Entidad 279,Licitacion publica,"76.355.594,97",2025-06-08
C-002258,BOGOTA D.C.,Entidad 346,Seleccion abreviada,"18.410.047,50",2025-03-09
C-002259,BOGOTA D.C.,Entidad 139,Minima cuantia,"119.193.976,91",2025-10-15
C-002260,BOGOTA D.C.,Entidad 245,Licitacion publica,"21.996.686,98",2025-05-01
C-002261,BOGOTA D.C.,Entidad 100,Seleccion abreviada,"4.625.304,08",2025-04-10
